Training Set Size,Total Accuracy Bayes,Fake Accuracy Bayes,Real Accuracy Bayes,Total Accuracy Topic,Fake Accuracy Topic,Real Accuracy Topic,Total Accuracy Both,Fake Accuracy Both,Real Accuracy Both,Total Accuracy Bayes avg,Fake Accuracy Bayes avg,Real Accuracy Bayes avg,Total Accuracy Topic avg,Fake Accuracy Topic avg,Real Accuracy Topic avg,Total Accuracy Both avg,Fake Accuracy Both avg,Real Accuracy Both avg
500,0.86,0.86,0.86,0.67,0.7,0.63,0.88,0.9,0.85,0.86627451,0.876862745,0.856078431,0.656862745,0.74627451,0.565490196,0.8624,0.8922,0.8338
500,0.89,0.9,0.89,0.68,0.75,0.6,0.86,0.91,0.82,,,,,,,,,
500,0.85,0.84,0.85,0.66,0.76,0.55,0.86,0.9,0.83,,,,,,,,,
500,0.9,0.9,0.9,0.66,0.79,0.53,0.85,0.86,0.83,,,,,,,,,
500,0.82,0.86,0.78,0.66,0.77,0.56,0.88,0.88,0.87,,,,,,,,,
500,0.88,0.86,0.9,0.66,0.72,0.59,0.84,0.89,0.79,,,,,,,,,
500,0.88,0.91,0.84,0.68,0.76,0.59,0.86,0.88,0.84,,,,,,,,,
500,0.85,0.87,0.83,0.68,0.81,0.55,0.9,0.93,0.87,,,,,,,,,
500,0.87,0.87,0.86,0.66,0.76,0.56,0.86,0.91,0.81,,,,,,,,,
500,0.86,0.87,0.86,0.65,0.74,0.56,0.87,0.89,0.85,,,,,,,,,
500,0.86,0.87,0.85,0.66,0.77,0.55,0.86,0.88,0.83,,,,,,,,,
500,0.85,0.86,0.84,0.68,0.8,0.56,0.85,0.84,0.85,,,,,,,,,
500,0.88,0.91,0.85,0.64,0.73,0.56,0.85,0.88,0.82,,,,,,,,,
500,0.82,0.81,0.84,0.64,0.71,0.57,0.86,0.89,0.83,,,,,,,,,
500,0.87,0.9,0.84,0.67,0.76,0.57,0.85,0.9,0.81,,,,,,,,,
500,0.85,0.87,0.83,0.65,0.73,0.57,0.85,0.9,0.81,,,,,,,,,
500,0.88,0.9,0.85,0.64,0.7,0.57,0.86,0.88,0.84,,,,,,,,,
500,0.88,0.87,0.89,0.65,0.73,0.56,0.87,0.92,0.82,,,,,,,,,
500,0.89,0.9,0.88,0.67,0.77,0.58,0.86,0.9,0.82,,,,,,,,,
500,0.88,0.91,0.85,0.68,0.8,0.57,0.87,0.91,0.83,,,,,,,,,
500,0.86,0.86,0.85,0.68,0.79,0.56,0.84,0.85,0.83,,,,,,,,,
500,0.86,0.85,0.88,0.7,0.79,0.62,0.85,0.9,0.81,,,,,,,,,
500,0.88,0.87,0.89,0.65,0.71,0.58,0.86,0.9,0.83,,,,,,,,,
500,0.88,0.89,0.87,0.63,0.74,0.51,0.87,0.9,0.83,,,,,,,,,
500,0.85,0.86,0.84,0.66,0.78,0.54,0.86,0.88,0.85,,,,,,,,,
500,0.86,0.87,0.86,0.62,0.68,0.56,0.88,0.94,0.83,,,,,,,,,
500,0.86,0.89,0.83,0.65,0.74,0.55,0.87,0.89,0.85,,,,,,,,,
500,0.84,0.89,0.8,0.66,0.7,0.62,0.85,0.89,0.81,,,,,,,,,
500,0.86,0.89,0.82,0.65,0.72,0.56,0.86,0.88,0.85,,,,,,,,,
500,0.86,0.84,0.88,0.67,0.76,0.57,0.86,0.88,0.84,,,,,,,,,
500,0.87,0.84,0.9,0.63,0.74,0.52,0.85,0.91,0.81,,,,,,,,,
500,0.86,0.89,0.84,0.65,0.72,0.57,0.87,0.86,0.88,,,,,,,,,
500,0.85,0.87,0.82,0.68,0.74,0.61,0.87,0.9,0.83,,,,,,,,,
500,0.91,0.93,0.88,0.66,0.76,0.56,0.86,0.89,0.83,,,,,,,,,
500,0.9,0.92,0.89,0.66,0.72,0.59,0.86,0.9,0.82,,,,,,,,,
500,0.85,0.84,0.86,0.69,0.78,0.61,0.89,0.89,0.89,,,,,,,,,
500,0.86,0.84,0.87,0.64,0.74,0.54,0.87,0.87,0.86,,,,,,,,,
500,0.88,0.91,0.84,0.65,0.75,0.56,0.87,0.92,0.82,,,,,,,,,
500,0.87,0.88,0.86,0.67,0.77,0.56,0.85,0.87,0.82,,,,,,,,,
500,0.86,0.9,0.82,0.62,0.7,0.54,0.87,0.9,0.84,,,,,,,,,
500,0.86,0.88,0.84,0.66,0.76,0.56,0.84,0.88,0.81,,,,,,,,,
500,0.88,0.88,0.89,0.65,0.75,0.56,0.89,0.92,0.86,,,,,,,,,
500,0.86,0.9,0.82,0.65,0.76,0.54,0.85,0.88,0.83,,,,,,,,,
500,0.86,0.88,0.84,0.62,0.76,0.49,0.85,0.91,0.8,,,,,,,,,
500,0.87,0.88,0.86,0.67,0.78,0.56,0.86,0.89,0.84,,,,,,,,,
500,0.86,0.87,0.86,0.62,0.72,0.52,0.88,0.89,0.86,,,,,,,,,
500,0.89,0.9,0.88,0.65,0.71,0.59,0.85,0.88,0.83,,,,,,,,,
500,0.81,0.8,0.83,0.65,0.72,0.58,0.87,0.9,0.83,,,,,,,,,
500,0.92,0.91,0.94,0.68,0.76,0.61,0.87,0.89,0.86,,,,,,,,,
500,0.85,0.87,0.83,0.65,0.74,0.56,0.86,0.9,0.82,,,,,,,,,
500,0.88,0.88,0.88,0.64,0.71,0.56,,,,,,,,,,,,
